"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"go-ethereum","Transaction","Create raw transaction","0","0","0","1","0"
"go-ethereum","Events","Read event logs","0","0","0","1","0"
"web3j","Events","Read event logs","0","0","0","1","0"
"go-ethereum","Address","Address validation","0","0","0","3","0"
"","transaction","","5","0","5","0","0"
"go-ethereum","Externally Owned Accounts","Balance","3","0","0","0","0"
"go temporary tests","go temporary tests","go temporary tests","0","0","7","0","0"
"web3j","Events","Subscription to event logs","0","0","0","1","0"
"","deploy contract","","3","3","0","0","0"
"go-ethereum","Transaction","Query transaction","0","0","0","1","0"
"web3j","Externally Owned Accounts","Transfer","0","0","0","2","0"
"go-ethereum","Common","Connection","0","0","1","0","0"
"web3j","Smart contracts","Load smart contracts","0","0","0","1","0"
"Nethereum","Common","Connection","0","0","2","0","0"
"","faucet","","0","0","8","0","0"
"go-ethereum","Events","Subscription to event logs","0","0","0","1","0"
"web3j","Transaction","Send raw transaction","0","0","0","1","0"
"go-ethereum","Transaction","Send raw transaction","0","0","0","1","0"
"web3j","Common","Connection","0","1","0","0","0"
"web3j","Blocks","Query Block","0","0","0","2","0"
"web3j","Events","Read 0x protocol event logs","0","0","0","1","0"
"go-ethereum","Blocks","Query block","0","0","0","2","0"
"go-ethereum","Events","Subscription to new blocks","0","0","0","1","0"
"Kotlin frameworks","KEthereum","Connection","0","0","2","0","0"
"web3j","Events","Subscription to new blocks","0","0","0","1","0"
"","","","0","1","1","0","0"
"go-ethereum","Smart contracts","Write to smart contracts","0","0","0","1","0"
"web3j","Smart contracts","Deploy smart contracts","0","0","0","1","0"
"go-ethereum","Swarm","Upload files to swarm","0","0","0","1","0"
"web3j","Events","Read ERC20 token event logs","0","0","0","1","0"
"go-ethereum","Events","Read ERC20 token event logs","0","0","0","1","0"
"Nethereum","Blocks","Query Block","0","0","1","0","0"
"go-ethereum","Smart contracts","Read smart contract bytecode","0","0","0","1","0"
"web3j","Smart contracts","Query smart contracts","0","0","0","2","0"
"web3j","Externally Owned Accounts","Balance","0","1","1","1","0"
"go-ethereum","Smart contracts","Query smart contracts","0","0","0","2","0"
"web3j","Transaction","Create raw transaction","0","0","0","1","0"
"go-ethereum","Swarm","Download files from swarm","0","0","0","1","0"
"Nethereum","Blocks","","1","0","0","0","0"
"go-ethereum","Events","Read 0x protocol event logs","0","0","0","1","0"
"web3j","Smart contracts","Read smart contract bytecode","0","0","0","1","0"
"go-ethereum","Smart contracts","Deploy smart contracts","0","0","0","1","0"
"web3j","Smart contracts","Write to smart contracts","0","0","0","1","0"
"Nethereum","Externally Owned Accounts","Balance","0","0","2","0","0"
"web3j","Externally Owned Accounts","Wallet","0","0","1","0","0"
"go-ethereum","Smart contracts","Load smart contracts","0","0","0","1","0"
